id;name;image
1;Manuel Poggiali;poggiali.jpg
2;Roberto Locatelli;rocatelli.jpg
3;Pere Tutusaus;tutusaus.jpeg
4;Axel Pons;axelpons.jpg
5;Fausto Gresini;gresini.jpg
6;Tadayuki Okada;okada.jpg
7;Tetsuya Harada;harada.jpg
8;Jean-Philippe Ruggia;ruggia.jpg
9;Ralf Waldmann;waldmann.jpg
10;Alessandro Gramigni;alessandrogramigni.jpg
11;James Toseland;toseland.jpg
12;Alex Debon;alexdebon.jpg
13;Arnaud Vincent;arnaudvincent.jpg
14;Carlos Lavado;carloslavado.jpg
15;Simone Corsi;corsi.jpeg
16;Fabrizio Lai;fabriziolai.jpg
17;Jonas Folger;folger.jpg
18;Gabor Talmacsi;fabortalmacsi.jpg
19;Geoff Duke;geoffduke.jpg
20;Noriyuki Haga;haga.jpg
21;John Hopkins;hopkins.jpg
22;Jim Redman;jimredman.jpg
23;Regis Laconi;laconi.jpg
24;Randy Mamola;mamola.jpg
25;Joan Olive;olive.jpg
26;Stefan Dorflinger;stefandorflinger.jpg
27;Umberto Massetti;umbertomasetti.jpg
28;Troy Bayliss;bayliss.jpg
29;Lorenzo Baldassarri;LorenzoBaldassarri.jpg
30;Sergio Gadea;gadea.jpg
31;Daryl Beattie;darylbeattie.jpg
32;Champi Herreros;herreros.jpg
33;Randy De Puniet;depuniet.jpg
34;Sebastian Porto;porto.jpg
35;Jacques Cornu;jacquescornu.jpg
36;Christian Sarron;sarron.jpg
37;Mike Di Meglio;mikedimeglio.jpg
38;Carlos Cardus;carlos-cardus.jpeg
39;Javier Del Amor;javi-del-amor.jpeg
40;Toni Elias;tonielias.jpeg
